Title,Location,Price,Size,Listing_Type
Residential Land for Sale in Al Wustaa Mahut,", Mahut, 992025XX","1,600 OMR",150.0,for sale
320 m2 4 Bedrooms Villa for Sale in Al Batinah Barka,", Barka, 772520XX","65,000 OMR",320.0,for sale
Residential Land for Sale in Al Batinah Rustaq,", Rustaq, 928478XX","100,000 OMR",150.0,for sale
535 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 906006XX","95,000 OMR",535.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 799998XX","14,900 OMR",150.0,for sale
Residential Land for Sale in Muscat Ansab,", Ansab, 926568XX","45,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Quriyat,", Quriyat, 939572XX","9,000 OMR",150.0,for sale
Farm Land for Sale in Muscat Quriyat,", Quriyat, 966544XX","38,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Manumah,", Manumah, 799998XX","30,900 OMR",150.0,for sale
352 m2 5 Bedrooms Villa for Sale in Al Batinah Other,", Other, 944977XX","78,000 OMR",352.0,for sale
181 m2 4 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 945401XX","35,000 OMR",181.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 926568XX","58,000 OMR",150.0,for sale
Farm Land for Sale in Al Dhahirah Ibri,", Ibri, 979993XX","40,000 OMR",150.0,for sale
302 m2 4 Bedrooms Townhouse for Sale in Muscat Al Maabilah,", Al Maabilah, 985187XX","70,000 OMR",302.0,for sale
270 m2 5 Bedrooms Townhouse for Sale in Muscat Al Maabilah,", Al Maabilah, 994629XX","70,000 OMR",270.0,for sale
216 m2 3 Bedrooms Villa for Sale in Muscat Al Mawaleh,", Al Mawaleh, 905099XX","56,000 OMR",216.0,for sale
Residential Land for Sale in Al Sharqiya Ibra,", Ibra, 994954XX","8,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 998482XX","15,800 OMR",150.0,for sale
351 m2 4 Bedrooms Villa for Sale in Al Batinah Other,", Other, 944977XX","84,000 OMR",351.0,for sale
Residential Land for Sale in Al Dakhiliya Other,", Other, 906145XX","40,000 OMR",150.0,for sale
105 m2 2 Bedrooms Apartments for Sale in Muscat Ghubrah,", Ghubrah, 980080XX","55,000 OMR",105.0,for sale
Residential Land for Sale in Al Batinah Shinas,", Shinas, 976008XX","8,800 OMR",150.0,for sale
85 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 961774XX","45,000 OMR",85.0,for sale
More than 6 bedrooms Farms for Sale in Al Batinah Barka,", Barka, 995466XX","420,000 OMR",300.0,for sale
2 Bedrooms Farms for Sale in Al Dakhiliya Sumail,", Sumail, 920252XX","42,000 OMR",110.0,for sale
Mixed Use Land for Sale in Muscat Seeb,", Seeb, 964466XX","360,000 OMR",150.0,for sale
3bed (4 room) Townhouse for sale in sultan haitham city wadi zaha,", Seeb, 932060XX","125,685 OMR",210.0,for sale
3BHK Garden Villa for sale in sultan haitham city wadi zaha,", Seeb, 932060XX","128,700 OMR",195.0,for sale
3BHK Sky Villa Middle with balcony for sale in sultan haitham city,", Seeb, 932060XX","120,412 OMR",195.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 998884XX","20,000 OMR",150.0,for sale
410 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 998884XX","110,000 OMR",410.0,for sale
1 Bedroom Farms for Sale in Al Batinah Barka,", Barka, 973434XX","24,000 OMR",56.0,for sale
أقوى العروض الاستثمارية امتلك محلك التجاري في الخوض بجانب العريمي بوليفارد بأسعار خياليه,", Al Maabilah, 955999XX","15,708 OMR",22.0,for sale
84 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,", Azaiba, 955999XX","31,996 OMR",84.0,for sale
91 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 955999XX","27,000 OMR",91.0,for sale
Mixed Use Land for Sale in Al Dakhiliya Nizwa,", Nizwa, 929994XX","35,000 OMR",150.0,for sale
108 m2 2 Bedrooms Apartments for Sale in Muscat Al Khuwair,", Al Khuwair, 955999XX","27,000 OMR",108.0,for sale
Residential Land for Sale in Al Batinah Wadi Al Ma'awal,", Wadi Al Ma'awal, 981106XX","15,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Quriyat,", Quriyat, 980802XX","16,000 OMR",150.0,for sale
60 m2 1 Bedroom Apartments for Sale in Muscat Misfah,", Misfah, 955999XX","27,000 OMR",60.0,for sale
Industrial Land for Sale in Al Batinah Liwa,", Liwa, 954080XX","65,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 933870XX","18,500 OMR",150.0,for sale
محل خياط ملابس النسائيه وبيع العبايات,", Al Khoud, 956003XX","2,800 OMR",50.0,for sale
Residential Land for Sale in Al Batinah Wadi Al Ma'awal,", Wadi Al Ma'awal, 957720XX","14,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 958503XX","7,900 OMR",150.0,for sale
232 m2 4 Bedrooms Villa for Sale in Al Batinah Other,", Other, 944977XX","58,000 OMR",232.0,for sale
Commercial Land for Sale in Al Wustaa Al Duqum,", Al Duqum, 977681XX","45,000 OMR",150.0,for sale
للبيع معرض ممتاز 100متر في بوشر بالقرب من جامع محمد الأمين,", Bosher, 958503XX","65,000 OMR",100.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 919620XX","15,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 958503XX","20,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 958503XX","12,300 OMR",150.0,for sale
Residential Land for Sale in Muscat Bosher,", Bosher, 799998XX","44,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 958503XX","15,000 OMR",150.0,for sale
Farm Land for Sale in Muscat Amerat,", Amerat, 954540XX","145,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 958503XX","31,000 OMR",150.0,for sale
Brand New Lagoon View Villa for Sale in Hawana Salalah with Private Pool,", Salala, 944505XX","165,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 946909XX","12,400 OMR",150.0,for sale
5 Bedrooms Farms for Sale in Al Batinah Barka,", Barka, 931435XX","210,000 OMR",600.0,for sale
Residential Land for Sale in Muscat Halban,", Halban, 799998XX","30,500 OMR",150.0,for sale
Residential Land for Sale in Dhofar Taqah,", Taqah, 928865XX","12,000 OMR",150.0,for sale
Farm Land for Sale in Al Batinah Al Rumais,", Al Rumais, 799998XX","100,000 OMR",150.0,for sale
220 m2 3 Bedrooms Townhouse for Sale in Al Batinah Barka,", Barka, 792088XX","50,000 OMR",220.0,for sale
Residential Land for Sale in Al Batinah Nakhl,", Nakhl, 925585XX","6,000 OMR",150.0,for sale
600 m2 4 Bedrooms Townhouse for Sale in Al Dakhiliya Sumail,", Sumail, 939132XX","16,000 OMR",600.0,for sale
Residential Land for Sale in Muscat Al Khoud,", Al Khoud, 994354XX","300,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 996621XX","7,500 OMR",150.0,for sale
حصريااا أقوى الفرص الاستثمارية تملك محلك التجاري في أكبر سوق في ولاية بركاء وبأقساط ميسرة ل 30 شهر,", Al Mawaleh, 771110XX","11,115 OMR",24.0,for sale
لأول مره في السلطنة تملك محلك التجاري في ولاية بركاء على الشارع العام وبدون فوائد مع محمد الرواحي,", Azaiba, 771110XX","17,316 OMR",38.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 954875XX","42,000 OMR",150.0,for sale
أقوى العروض الاستثمارية تملك محلك التجاري على اول خط رئيسي في ولاية بركاء وبأقساط تمتد ل 30 شهر,", Ghubrah, 771110XX","30,160 OMR",30.0,for sale
Residential Land for Sale in Al Sharqiya Al Mudaibi,", Al Mudaibi, 962642XX","6,000 OMR",150.0,for sale
61 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 923200XX","25,000 OMR",61.0,for sale
500 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,", Bosher, 914855XX","170,000 OMR",500.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 799998XX","54,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 954875XX","20,000 OMR",150.0,for sale
69 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 795981XX","70,000 OMR",69.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 954875XX","20,000 OMR",150.0,for sale
215 m2 4 Bedrooms Villa for Sale in Muscat Misfah,", Misfah, 799919XX","95,000 OMR",215.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 954875XX","50,000 OMR",150.0,for sale
Apartment for sale in Wadi Al kabir,", Wadi Al Kabir, 956846XX","24,000 OMR",103.0,for sale
Commercial Land for Sale in Al Batinah Sohar,", Sohar, 991719XX","13,000 OMR",150.0,for sale
Commercial Land for Sale in Muscat Amerat,", Amerat, 954424XX","125,000 OMR",150.0,for sale
31996 m2 2 Bedrooms Apartments for Sale in Muscat Ghubrah,", Ghubrah, 955999XX","31,996 OMR",31996.0,for sale
100 m2 3 Bedrooms Apartments for Sale in Muscat Azaiba,", Azaiba, 950208XX","53,000 OMR",100.0,for sale
Residential Land for Sale in Al Dhahirah Dhank,", Dhank, 998560XX","9,100 OMR",150.0,for sale
لعشاق تملك المحلات التجارية صار فيك تتملك محلك التجاري في الخوض بجانب العريمي بوليفارد وبأقساط مريحة,", Al Khuwair, 955999XX","15,708 OMR",22.0,for sale
"Residential, Commercial and agricultural lands for sale in Yiti",", Yiti, 956846XX","15,000 OMR",150.0,for sale
Commercial Land for Sale in Muscat Al Maabilah,", Al Maabilah, 988884XX","500,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Rumais,", Al Rumais, 799998XX","12,500 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Nizwa,", Nizwa, 998114XX","18,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 965260XX","18,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Al Khoud,", Al Khoud, 989889XX","85,000 OMR",150.0,for sale
Farm Land for Sale in Al Batinah Barka,", Barka, 799998XX","165,000 OMR",150.0,for sale
"DM فرصة تملك ارض سكنية في المعبيلة و تبدأ الاسعار 54,000",", Al Maabilah, 939364XX","54,000 OMR",150.0,for sale
340 m2 5 Bedrooms Townhouse for Sale in Al Batinah Liwa,", Liwa, 965005XX","59,000 OMR",340.0,for sale
67 m2 1 Bedroom Apartments for Sale in Muscat Seeb,", Seeb, 914888XX","48,610 OMR",67.0,for sale
واخيراً صار تقدر تتملك محلك التجاري ف الخوض وأقساط 30 شهر مع محمد الفرقاني,", Azaiba, 944433XX","17,780 OMR",25.0,for sale
84 m2 2 Bedrooms Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 955999XX","31,996 OMR",84.0,for sale
Residential Land for Sale in Al Batinah Wadi Al Ma'awal,", Wadi Al Ma'awal, 992467XX","7,900 OMR",150.0,for sale
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,", Al-Sifah, 919595XX","95,000 OMR",129.0,for sale
فرصة العمر تملك محلك التجاري بجانب العريمي بوليفارد بالخوض وأقساط 30 شهر مع محمد الفرقاني,", Ghubrah, 944433XX","17,780 OMR",25.0,for sale
"تملك محلك التجاري بجانب العريمي بوليفارد بأسعار تبدأ من 15,708ر.ع مع عبدالعزيز الحسني",", Al Khoud, 955999XX","15,708 OMR",25.0,for sale
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,", Al-Sifah, 919595XX","99,000 OMR",129.0,for sale
Residential Land for Sale in Al Batinah Wadi Al Ma'awal,", Wadi Al Ma'awal, 992467XX","7,900 OMR",150.0,for sale
17780 ر.ع فقططط تملك محلك التجاري بالخوض جانب العريمي بوليفارد واستلم بعد 18 شهر مع الفرقاني,", Al Mawaleh, 944433XX","17,780 OMR",25.0,for sale
Commercial Land for Sale in Al Batinah Barka,", Barka, 944111XX","80,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Wadi Al Ma'awal,", Wadi Al Ma'awal, 992467XX","7,900 OMR",150.0,for sale
محل ورشة صيانة سيارات,", Al Maabilah, 969614XX","3,500 OMR",36.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 944111XX","17,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 944111XX","20,500 OMR",150.0,for sale
84 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 944433XX","31,996 OMR",84.0,for sale
Apartment for Rent,", Al Maabilah, 933229XX","180,000 OMR",100.0,for sale
Residential Land for Sale in Dhofar Taqah,", Taqah, 956214XX","13,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 944111XX","24,500 OMR",150.0,for sale
84 m2 2 Bedrooms Apartments for Sale in Muscat Al Khuwair,", Al Khuwair, 944433XX","31,996 OMR",84.0,for sale
84 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud,", Al Khoud, 944433XX","31,996 OMR",84.0,for sale
Residential Land for Sale in Muscat Manumah,", Manumah, 944111XX","31,000 OMR",150.0,for sale
434 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,", Amerat, 924555XX","83,000 OMR",434.0,for sale
370 m2 3 Bedrooms Townhouse for Sale in Al Batinah Al Rumais,", Al Rumais, 998526XX","70,000 OMR",370.0,for sale
320 m2 5 Bedrooms Villa for Sale in Muscat Amerat,", Amerat, 979989XX","62,000 OMR",320.0,for sale
245 m2 4 Bedrooms Villa for Sale in Muscat Amerat,", Amerat, 979989XX","52,000 OMR",245.0,for sale
Commercial Land for Sale in Muscat Ghubrah,", Ghubrah, 995991XX","195,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Rumais,", Al Rumais, 944111XX","19,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 944111XX","14,900 OMR",150.0,for sale
81 m2 2 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah,", Al Masnaah, 953447XX","22,499 OMR",81.0,for sale
Laundry for sale,", Barka, 791677XX",800 OMR,5.0,for sale
محل ورد وهدايا للبيع,", Suwaiq, 719154XX","6,000 OMR",6.0,for sale
54 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 727272XX","25,000 OMR",54.0,for sale
Residential Land for Sale in Buraimi Al Buraimi,", Al Buraimi, 991600XX","9,200 OMR",150.0,for sale
Residential Land for Sale in Buraimi Al Buraimi,", Al Buraimi, 991600XX","16,000 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Bahla,", Bahla, 940161XX","9,000 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Manah,", Manah, 940024XX","16,000 OMR",150.0,for sale
411 m2 More than 6 bedrooms Townhouse for Sale in Muscat Bosher,", Bosher, 992194XX","170,000 OMR",411.0,for sale
Residential Land for Sale in Muscat Al Mawaleh,", Al Mawaleh, 906950XX","100,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Al Mawaleh,", Al Mawaleh, 914855XX","93,000 OMR",150.0,for sale
Commercial Land for Sale in Muscat Al Khoud,", Al Khoud, 914855XX","170,000 OMR",150.0,for sale
land for sale in amerat negotiable price within limit,", Amerat, 940522XX","50,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Misfah,", Misfah, 985424XX","44,000 OMR",150.0,for sale
470 m2 More than 6 bedrooms Villa for Sale in Al Batinah Barka,", Barka, 922261XX","85,000 OMR",470.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 953620XX","10,500 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Izki,", Izki, 993286XX","26,000 OMR",150.0,for sale
400 m2 4 Bedrooms Villa for Sale in Al Batinah Other,", Other, 944977XX","87,000 OMR",400.0,for sale
220 m2 3 Bedrooms Townhouse for Sale in Muscat Amerat,", Amerat, 975717XX","39,000 OMR",220.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 967588XX","24,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Taqah,", Taqah, 928865XX","15,500 OMR",150.0,for sale
بيع محل تجارى,", Al Masnaah, 966064XX","3,500 OMR",20.0,for sale
284 m2 3 Bedrooms Villa for Sale in Al Batinah Barka,", Barka, 925810XX","58,000 OMR",284.0,for sale
323 m2 5 Bedrooms Townhouse for Sale in Muscat Amerat,", Amerat, 992025XX","55,000 OMR",323.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 946331XX","16,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Wadi Al Ma'awal,", Wadi Al Ma'awal, 913317XX","18,000 OMR",150.0,for sale
238 m2 4 Bedrooms Townhouse for Sale in Al Batinah Barka,", Barka, 992025XX","55,000 OMR",238.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 993553XX","67,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 965855XX","39,500 OMR",150.0,for sale
Farm Land for Sale in Al Batinah Saham,", Saham, 954424XX","220,000 OMR",150.0,for sale
"Highly recommended 1BHK in Madinat sultan Qaboos, qurum 29  Noor 2",", Madinat As Sultan Qaboos, 711749XX","45,000 OMR",99.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 960866XX","55,000 OMR",150.0,for sale
للبيع فندق 3 نجوم جديد في مرتفعات غلا - 119 غرفه قريب من مطار مسقط   Hotel for sale 3 stars,", Ghala, 954424XX","3,800,000 OMR",10000.0,for sale
"84m almouj golf links 1Bedroom  from owner of unit down payment 39,668 golf link free hold",", Al Mouj, 919736XX","89,000 OMR",84.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 963066XX","12,500 OMR",150.0,for sale
Residential Land for Sale in Al Sharqiya Sur,", Sur, 929200XX","6,000 OMR",150.0,for sale
1 Bedroom Farms for Sale in Al Batinah Saham,", Saham, 993753XX","25,800 OMR",1.0,for sale
Residential Land for Sale in Al Batinah Sohar,", Sohar, 925208XX","7,050 OMR",150.0,for sale
183 m2 3 Bedrooms Villa for Sale in Muscat Amerat,", Amerat, 971368XX","40,000 OMR",183.0,for sale
500 m2 5 Bedrooms Townhouse for Sale in Al Dakhiliya Bidbid,", Bidbid, 980144XX","135,000 OMR",500.0,for sale
Residential Land for Sale in Al Dakhiliya Sumail,", Sumail, 996252XX","6,500 OMR",150.0,for sale
Commercial Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 960005XX","20,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 990005XX","9,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Sohar,", Sohar, 953100XX","5,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Rustaq,", Rustaq, 923990XX","5,500 OMR",150.0,for sale
مقهى للاخلاء كامل المعدات,", Al Maabilah, 943944XX","2,000 OMR",50.0,for sale
Commercial Land for Sale in Buraimi Al Buraimi,", Al Buraimi, 994472XX","5,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 960824XX","6,000 OMR",150.0,for sale
Building for Sale in Muscat Seeb,", Seeb, 955999XX","165,000 OMR",1400.0,for sale
Building for Sale in Muscat Azaiba,", Azaiba, 955999XX","165,000 OMR",1400.0,for sale
262 m2 4 Bedrooms Villa for Sale in Al Batinah Barka,", Barka, 958816XX","55,000 OMR",262.0,for sale
للبيع مقهى,", Ibri, 991449XX","2,800 OMR",11.0,for sale
208 m2 3 Bedrooms Villa for Sale in Muscat Amerat,", Amerat, 979989XX","42,000 OMR",208.0,for sale
330 m2 More than 6 bedrooms Villa for Sale in Dhofar Salala,", Salala, 994889XX","67,000 OMR",330.0,for sale
470 m2 More than 6 bedrooms Villa for Sale in Al Batinah Other,", Other, 944977XX","88,000 OMR",470.0,for sale
واخيرا صار فيك تتملك محلك التجاري ضمن افخم سوق تجاري في بركاء على الخط الأول مع عبدالعزيز,", Al Maabilah, 955999XX","28,500 OMR",35.0,for sale
واخيرا صار فيك تمتلك محلك التجاري في بوشر مقابل جامع محمد الامين في برج مونارا مع عبدالعزيز,", Ansab, 955999XX","18,200 OMR",35.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 995115XX","34,000 OMR",150.0,for sale
HAJIALI JUICE CENTRE AL  AMARAT PHASE 6 fast food fully FURNISHED shop,", Amerat, 938716XX","8,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 923997XX","4,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Rumais,", Al Rumais, 954586XX","16,000 OMR",150.0,for sale
200 m2 4 Bedrooms Townhouse for Sale in Al Batinah Barka,", Barka, 722998XX","48,500 OMR",200.0,for sale
ورشة تصليح سيارات المانية واوروبية للبيع بداعي السفر,", Halban, 950982XX","45,000 OMR",710.0,for sale
Residential Land for Sale in Al Dakhiliya Nizwa,", Nizwa, 922796XX","18,000 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Sumail,", Sumail, 994593XX","25,000 OMR",150.0,for sale
صالون نسائي للبيع بسعر مغري للغايه!!!   Ladies Saloon for sale!!! La Femme Spa and Boutique,", Al Mawaleh, 914410XX","8,000 OMR",200.0,for sale
91 m2 3 Bedrooms Apartments for Sale in Muscat Ghala,", Ghala, 955999XX","27,000 OMR",91.0,for sale
Residential Land for Sale in Muscat Quriyat,", Quriyat, 958180XX","10,500 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Sumail,", Sumail, 932880XX","16,000 OMR",150.0,for sale
60 m2 2 Bedrooms Apartments for Sale in Muscat Amerat,", Amerat, 955999XX","27,000 OMR",60.0,for sale
Building for Sale in Muscat Ruwi,", Ruwi, 919113XX","950,000 OMR",4251.0,for sale
Residential Land for Sale in Al Sharqiya Al Mudaibi,", Al Mudaibi, 960603XX","4,350 OMR",150.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 993462XX","57,000 OMR",150.0,for sale
Building for Sale in Muscat Azaiba,", Azaiba, 988969XX","375,000 OMR",600.0,for sale
Residential Land for Sale in Muscat Bosher,", Bosher, 981106XX","65,000 OMR",150.0,for sale
430 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 988969XX","130,000 OMR",430.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 959890XX","42,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 921195XX","11,250 OMR",150.0,for sale
Residential Land for Sale in Al Sharqiya Masira,", Masira, 990055XX","7,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 799998XX","12,500 OMR",150.0,for sale
محل مرخص و شغال,", Al Khoud, 965050XX","3,500 OMR",50.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 775543XX","54,000 OMR",150.0,for sale
GHALA 2738 SQM LAND FOR SALE,", Ghala, 979717XX","800,000 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Nizwa,", Nizwa, 937959XX","3,900 OMR",150.0,for sale
Residential Land for Sale in Muscat Al Khoud,", Al Khoud, 991649XX","99,999 OMR",150.0,for sale
Residential Land for Sale in Muscat Al Khoud,", Al Khoud, 977788XX","292,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Taqah,", Taqah, 929177XX","18,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Taqah,", Taqah, 929177XX","13,000 OMR",150.0,for sale
350 m2 3 Bedrooms Townhouse for Sale in Al Dakhiliya Nizwa,", Nizwa, 964422XX","25,000 OMR",350.0,for sale
Commercial Land for Sale in Al Batinah Suwaiq,", Suwaiq, 957161XX","39,500 OMR",150.0,for sale
Residential Land for Sale in Muscat Halban,", Halban, 944111XX","48,000 OMR",150.0,for sale
Emergency sell,", Sur, 712349XX",400 OMR,411.0,for sale
ديسمبر بوتيك للبيع,", Sohar, 924902XX","10,000 OMR",14.0,for sale
Residential Land for Sale in Al Batinah Al Rumais,", Al Rumais, 944111XX","17,000 OMR",150.0,for sale
146 m2 3 Bedrooms Townhouse for Sale in Muscat Al-Hail,", Al-Hail, 952167XX","120,000 OMR",146.0,for sale
Residential Land for Sale in Al Dhahirah Ibri,", Ibri, 939120XX","1,400 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 985438XX","16,000 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Izki,", Izki, 972240XX","12,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 789454XX","44,000 OMR",150.0,for sale
280 m2 3 Bedrooms Villa for Sale in Al Batinah Barka,", Barka, 994191XX","66,000 OMR",280.0,for sale
عامل للملحمة,", Izki, 936234XX","1,000 OMR",1.0,for sale
Commercial Land for Sale in Muscat Al Khoud,", Al Khoud, 990173XX","16,000,000 OMR",150.0,for sale
سبا و صالون رجالي للبيع,", Al Khuwair, 957273XX","15,000 OMR",150.0,for sale
377 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 721340XX","115,000 OMR",377.0,for sale
Residential Land for Sale in Al Batinah Sohar,", Sohar, 991227XX","31,000 OMR",150.0,for sale
Commercial Land for Sale in Al Batinah Barka,", Barka, 998108XX","125,000 OMR",150.0,for sale
117 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,", Azaiba, 977788XX","58,000 OMR",117.0,for sale
Residential Land for Sale in Al Batinah Rustaq,", Rustaq, 962999XX","16,300 OMR",150.0,for sale
100 m2 2 Bedrooms Townhouse for Sale in Muscat Amerat,", Amerat, 952799XX","12,900 OMR",100.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 998108XX","15,900 OMR",150.0,for sale
108 m2 3 Bedrooms Apartments for Sale in Muscat Al Khuwair,", Al Khuwair, 955999XX","48,600 OMR",108.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 799998XX","14,900 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 925810XX","15,500 OMR",150.0,for sale
107 m2 2 Bedrooms Apartments for Sale in Muscat Al-Hail,", Al-Hail, 955999XX","27,000 OMR",107.0,for sale
Residential Land for Sale in Muscat Ansab,", Ansab, 925810XX","60,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 925810XX","10,500 OMR",150.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 978599XX","59,000 OMR",150.0,for sale
416 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,", Amerat, 911163XX","67,000 OMR",416.0,for sale
فرصة استثمارية نادرة!  محل تجاري للبيع ضمن مشروع فاخر بالخوض– بالقرب من جامعة السلطان قابوس!,", Al Khoud, 922723XX","23,000 OMR",25.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 926559XX","46,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Suwaiq,", Suwaiq, 948947XX","7,000 OMR",150.0,for sale
60 m2 1 Bedroom Apartments for Sale in Muscat Azaiba,", Azaiba, 944433XX","27,000 OMR",60.0,for sale
60 m2 1 Bedroom Apartments for Sale in Muscat Qurm,", Qurm, 944433XX","27,000 OMR",60.0,for sale
60 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 944433XX","27,000 OMR",60.0,for sale
Residential Land for Sale in Muscat Halban,", Halban, 799998XX","31,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 799998XX","30,500 OMR",150.0,for sale
